X,Y,OBJECTID,Codigo_DANE_anterior,DANE_Letra,DANE_Actual,DIRECCION,ESTABLECIMIENTO_EDUCATIVO,SEDE,Zona,Identificador,POINT_X,POINT_Y,POINT_Z,BARRIO,COMUNA,VEREDA_COMUNIDAD,COD_DANE_DEPMUN,MUNICIPIO,PROVINCIA,NOMBRE_GEOGRAFICO,CATEGORIA,CORREGIMIENTO,VEREDA_IGAC,Estado_InfraestructuraE,PROV_ORIG,MUNI_ORIG,INST_ORIG,SEDE_ORIG
1124890.9573,1304365.1528,1,168132000199,168132000199A,16813200019901,PERIMETRO URBANO,COLEGIO_INTEGRADO_SAN_ANTONIO_CALIFORNIA,COLEGIO_INTEGRADO_SAN_ANTONIO,URBANA,168,-72.9469559999282,7.34754399971421,0,,,CABECERA_MUNICIPAL,68132,CALIFORNIA,SOTO_NORTE,ZONA URBANA,Cabecera Municipal,,CABECERA_MUNICIPAL,Deficit,,,COLEGIO INTEGRADO SAN ANTONIO,COLEGIO INTEGRADO SAN ANTONIO
1129412.5908,1307317.021,2,268132000142,168132000199D,16813200019904,VEREDA ANGOSTURAS,COLEGIO_INTEGRADO_SAN_ANTONIO_CALIFORNIA,ESCUELA_RURAL_ANGOSTURAS,RURAL,169,-72.9059920002141,7.37420800038633,0,,,ANGOSTURAS,68132,CALIFORNIA,SOTO_NORTE,ANGOSTURAS,Vereda,,ANGOSTURAS,Deficit,,,COLEGIO INTEGRADO SAN ANTONIO,ESCUELA RURAL ANGOSTURAS
1124876.6179,1304314.1919,3,168132000245,168132000199B,16813200019902,PERIMETRO URBANO,COLEGIO_INTEGRADO_SAN_ANTONIO_CALIFORNIA,ESCUELA_URBANA_EL_DIVINO_NINO,URBANA,170,-72.947086111108,7.34708333262636,0,,,CABECERA_MUNICIPAL,68132,CALIFORNIA,SOTO_NORTE,ZONA URBANA,Cabecera Municipal,,CABECERA_MUNICIPAL,Alerta,,,COLEGIO INTEGRADO SAN ANTONIO,ESCUELA URBANA EL DIVINO NIÑO
1116013.5897,1296129.8504,4,268169000126,168169000296P,16816900029616,VEREDA LA PLAYA,INSTITUTO_AGRICOLA_CHARTA,ESCUELA_RURAL_EL_ALINADERO,RURAL,265,-73.0273749999235,7.27312499955539,0,,,PICO_Y_PALMA,68169,CHARTA,SOTO_NORTE,PICO Y PALMA,Vereda,,PICO_Y_PALMA,Cumple,,,INSTITUTO AGRICOLA,ESCUELA RURAL EL ALIÑADERO
1117596.7106,1295220.093,5,268169000118,168169000296O,16816900029615,VEREDA CARBONAL,INSTITUTO_AGRICOLA_CHARTA,ESCUELA_RURAL_EL_CARBONAL,RURAL,266,-73.0130444443227,7.26489444363377,0,,,CARBONAL,68169,CHARTA,SOTO_NORTE,CARBONAL,Vereda,,CARBONAL,Cumple,,,INSTITUTO AGRICOLA,ESCUELA RURAL EL CARBONAL
1129391.8193,1307336.0324,6,268132000231,168132000199E,16813200019905,VEREDA LA BAJA,COLEGIO_INTEGRADO_SAN_ANTONIO_CALIFORNIA,ESCUELA_RURAL_LA_BAJA,RURAL,276,-72.9061799997438,7.37437999978061,0,,,ANGOSTURAS,68132,CALIFORNIA,SOTO_NORTE,ANGOSTURAS,Vereda,,ANGOSTURAS,Deficit,,,COLEGIO INTEGRADO SAN ANTONIO,ESCUELA RURAL LA BAJA
1123282.3077,1295248.1617,7,268169000185,168169000296D,16816900029604,VEREDA EL ROBLE,INSTITUTO_AGRICOLA_CHARTA,ESCUELA_RURAL_EL_ROBLE,RURAL,303,-72.961566666699,7.26512499959687,0,,,EL_ROBLE,68169,CHARTA,SOTO_NORTE,EL ROBLE,Vereda,,EL_ROBLE,Alerta,,,INSTITUTO AGRICOLA,ESCUELA RURAL EL ROBLE
1128123.8987,1295268.9715,8,268169000282,168169000296I,16816900029609,VEREDA EL CENTRO,INSTITUTO_AGRICOLA_CHARTA,ESCUELA_RURAL_EL_TABOR,RURAL,304,-72.9177305556195,7.26528888874015,0,,,CENTRO,68169,CHARTA,SOTO_NORTE,CENTRO,Vereda,,CENTRO,Cumple,,,INSTITUTO AGRICOLA,ESCUELA RURAL EL TABOR
1112930.1948,1289626.0234,9,268169000070,168169000296M,16816900029613,VEREDA LA AGUADA,INSTITUTO_AGRICOLA_CHARTA,ESCUELA_RURAL_LA_AGUADA,RURAL,305,-73.0553111106777,7.21433333286686,0,,,OIDOR,68169,CHARTA,SOTO_NORTE,OIDOR,Vereda,LA_AGUADA,LA_AGUADA,Deficit,,,INSTITUTO AGRICOLA,ESCUELA RURAL LA AGUADA
1121862.2639,1299335.6335,10,268169000061,168169000296E,16816900029605,VEREDA LA RINCONADA,INSTITUTO_AGRICOLA_CHARTA,ESCUELA_RURAL_LA_RINCONADA,RURAL,306,-72.9744055555483,7.3020861107332,0,,,LA_RINCONADA,68169,CHARTA,SOTO_NORTE,LA RINCONADA,Vereda,,LA_RINCONADA,Alerta,,,INSTITUTO AGRICOLA,ESCUELA RURAL LA RINCONADA
